gene_name	Mutated_Patients	Frequency	MeanExpression	MutationScore	ExpressionScore	DriverScore
ZKSCAN3	5	0.0099009900990099	2.9813675280344234	0.02040816326530612	0.23928173149267923	0.10795759055625537
CYP2U1	1	0.0019801980198019	3.285928559576183	0.00408163265306106	0.2637255111633309	0.107939184057169
RAPGEF4	12	0.0237623762376237	2.4463776100704093	0.04897959183673457	0.19634394784211628	0.10792533423888725
LAMP5	13	0.0257425742574257	2.3695483737934215	0.05306122448979584	0.19017770617189256	0.10790781716263453
LYPD3	2	0.0039603960396039	3.208054121922017	0.008163265306122325	0.2574753826214155	0.1078881122322396
RILPL1	2	0.0039603960396039	3.2068322267503464	0.008163265306122325	0.25737731447328194	0.10784888497298617
RNF212	4	0.0079207920792079	3.0537535506314297	0.016326530612244858	0.24509136504507092	0.10783246438537529
POU6F1	1	0.0019801980198019	3.282555094671446	0.00408163265306106	0.26345476006808854	0.10783088361907206
SFR1	2	0.0039603960396039	3.2060816607524267	0.008163265306122325	0.2573170747578182	0.10782478908680067
PELI3	1	0.0019801980198019	3.282249038238502	0.00408163265306106	0.26343019626891895	0.10782105809940422
SDHA	5	0.0099009900990099	2.9768800189824054	0.02040816326530612	0.23892156827027913	0.10781352526729533
SOX2	1	0.0019801980198019	3.281696496116003	0.00408163265306106	0.26338584976197177	0.10780331949662535
SMAP1	4	0.0079207920792079	3.052441291484989	0.016326530612244858	0.24498604436998647	0.10779033611534151
SIGLEC9	12	0.0237623762376237	2.4407741603759563	0.04897959183673457	0.1958942202816552	0.10774544321470282
CFAP54	22	0.0435643564356435	1.677897300687895	0.08979591836734682	0.13466644672292027	0.1077441297095762
ADAMTS3	21	0.0415841584158415	1.753677888833755	0.08571428571428556	0.1407485248882479	0.1077279813838705
ZNF18	4	0.0079207920792079	3.0500243987019906	0.016326530612244858	0.24479206684641383	0.10771274510591246
LRRN1	6	0.0118811881188118	2.8971523003788717	0.024489795918367183	0.2325226971562598	0.10770295641352423
ATF7IP2	1	0.0019801980198019	3.27798851752708	0.00408163265306106	0.2630882509155523	0.10768427995805757
RNLS	4	0.0079207920792079	3.048106683303433	0.016326530612244858	0.24463815282650112	0.10765117949794736
CEP72	3	0.0059405940594059	3.1242092974118862	0.012244897959183591	0.250746076490309	0.10764536937163376
MYEOV	7	0.0138613861386138	2.817916154151199	0.02857142857142845	0.22616327917512125	0.10760816881290558
ORC1	7	0.0138613861386138	2.81744402538676	0.02857142857142845	0.22612538656806086	0.10759301177008142
SALL4	16	0.0316831683168316	2.12953086883459	0.06530612244897943	0.1709141287581525	0.10754932497264866
SGK3	1	0.0019801980198019	3.2726742644109152	0.00408163265306106	0.2626617339983091	0.10751367319116029
