AbsLog2FC	ECDF
0.00577137177860704	0.0195263290501386
0.00578930815099632	0.0195683211556227
0.00580220184844866	0.0196103132611069
0.00581908910057117	0.0196523053665911
0.0058199397045124	0.0196942974720752
0.00583318352282741	0.0197362895775594
0.00584047235425746	0.0197782816830436
0.00586499075788445	0.0198202737885278
0.00587050604458241	0.0198622658940119
0.00588933659065078	0.0199042579994961
0.00595088029015554	0.0199462501049803
0.00600855673402911	0.0199882422104644
0.00601266181323952	0.0200302343159486
0.00603328099151992	0.0200722264214328
0.00605162252314861	0.0201142185269169
0.00605320216361276	0.0201562106324011
0.00607215282024801	0.0201982027378853
0.00607967786779391	0.0202401948433694
0.00608196910960343	0.0202821869488536
0.00608328591500043	0.0203241790543378
0.00608417736060382	0.020366171159822
0.00610047168161651	0.0204081632653061
0.00610512750866348	0.0204501553707903
0.00610863242087569	0.0204921474762745
0.00611992716554509	0.0205341395817586
0.00615097491971108	0.0205761316872428
0.00615188660739431	0.020618123792727
0.00616099210691979	0.0206601158982111
0.00616627442066641	0.0207021080036953
0.00616991246787992	0.0207441001091795
0.00621465306877735	0.0207860922146636
0.00622633962050967	0.0208280843201478
0.00623220701549866	0.020870076425632
0.00625194703464463	0.0209120685311161
0.00628352063229366	0.0209540606366003
0.00629205002627269	0.0209960527420845
0.00630790172081784	0.0210380448475687
0.00631187907942109	0.0210800369530528
0.00634579743465913	0.021122029058537
0.00635186470974853	0.0211640211640212
0.00636759262945154	0.0212060132695053
0.00640147674799426	0.0212480053749895
0.00641646180352114	0.0212899974804737
0.00642221102021457	0.0213319895859578
0.00642966556034744	0.021373981691442
0.00644636165974407	0.0214159737969262
0.00645436404731147	0.0214579659024103
0.00648391890162028	0.0214999580078945
0.00648958112448854	0.0215419501133787
0.0065241638798336	0.0215839422188629
0.00654239473712836	0.021625934324347
0.00656771854897259	0.0216679264298312
0.00657440607194602	0.0217099185353154
0.00660532957272992	0.0217519106407995
0.00660682649283674	0.0217939027462837
0.00661357255171807	0.0218358948517679
0.00661445818657806	0.021877886957252
0.00661619659710399	0.0219198790627362
0.00662497923636469	0.0219618711682204
0.00662538245260101	0.0220038632737045
0.00662721758738364	0.0220458553791887
0.0066291127861453	0.0220878474846729
0.00663357574344049	0.0221298395901571
0.00665153647223438	0.0221718316956412
0.00665204072722833	0.0222138238011254
0.00665933440811549	0.0222558159066096
0.00667410512219707	0.0222978080120937
0.00668395692871591	0.0223398001175779
0.00669620147688153	0.0223817922230621
0.00669966382235002	0.0224237843285462
0.00670539370277813	0.0224657764340304
0.00673869032914017	0.0225077685395146
0.00674268129886131	0.0225497606449987
