Driver	Source
CHIA	results/evidence/TP53/transcriptomics/DEGs.tsv
DBF4	results/evidence/TP53/transcriptomics/DEGs.tsv
OCA2	results/evidence/TP53/transcriptomics/DEGs.tsv
RPL26P30	results/evidence/TP53/transcriptomics/DEGs.tsv
SLC14A2	results/evidence/TP53/transcriptomics/DEGs.tsv
TCF19	results/evidence/TP53/transcriptomics/DEGs.tsv
NXF3	results/evidence/TP53/transcriptomics/DEGs.tsv
YEATS2	results/evidence/TP53/transcriptomics/DEGs.tsv
ARHGAP26	results/evidence/TP53/transcriptomics/DEGs.tsv
ODCP	results/evidence/TP53/transcriptomics/DEGs.tsv
UBE2C	results/evidence/TP53/transcriptomics/DEGs.tsv
FSTL4	results/evidence/TP53/transcriptomics/DEGs.tsv
PSMC3IP	results/evidence/TP53/transcriptomics/DEGs.tsv
GHET1	results/evidence/TP53/transcriptomics/DEGs.tsv
MCM6	results/evidence/TP53/transcriptomics/DEGs.tsv
TMEM237	results/evidence/TP53/transcriptomics/DEGs.tsv
BRCA1	results/evidence/TP53/transcriptomics/DEGs.tsv
TFF1	results/evidence/TP53/transcriptomics/DEGs.tsv
MTBP	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC02188	results/evidence/TP53/transcriptomics/DEGs.tsv
STEAP1B	results/evidence/TP53/transcriptomics/DEGs.tsv
ATAD5	results/evidence/TP53/transcriptomics/DEGs.tsv
NDC80	results/evidence/TP53/transcriptomics/DEGs.tsv
PLA2G4F	results/evidence/TP53/transcriptomics/DEGs.tsv
CLSPN	results/evidence/TP53/transcriptomics/DEGs.tsv
FAM72B	results/evidence/TP53/transcriptomics/DEGs.tsv
DNMT3B	results/evidence/TP53/transcriptomics/DEGs.tsv
TMED6	results/evidence/TP53/transcriptomics/DEGs.tsv
INA	results/evidence/TP53/transcriptomics/DEGs.tsv
RBPMS-AS1	results/evidence/TP53/transcriptomics/DEGs.tsv
AL353138.1	results/evidence/TP53/transcriptomics/DEGs.tsv
TRAIP	results/evidence/TP53/transcriptomics/DEGs.tsv
KIFC1	results/evidence/TP53/transcriptomics/DEGs.tsv
CDKN2B-AS1	results/evidence/TP53/transcriptomics/DEGs.tsv
MTND1P23	results/evidence/TP53/transcriptomics/DEGs.tsv
RPL39L	results/evidence/TP53/transcriptomics/DEGs.tsv
GPRC5C	results/evidence/TP53/transcriptomics/DEGs.tsv
AL136452.1	results/evidence/TP53/transcriptomics/DEGs.tsv
TICRR	results/evidence/TP53/transcriptomics/DEGs.tsv
HSD17B11	results/evidence/TP53/transcriptomics/DEGs.tsv
CENPE	results/evidence/TP53/transcriptomics/DEGs.tsv
KIF23	results/evidence/TP53/transcriptomics/DEGs.tsv
BPIFB2	results/evidence/TP53/transcriptomics/DEGs.tsv
CDKN2A	results/evidence/TP53/transcriptomics/DEGs.tsv
TBC1D2	results/evidence/TP53/transcriptomics/DEGs.tsv
E2F1	results/evidence/TP53/transcriptomics/DEGs.tsv
C1orf112	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC00664	results/evidence/TP53/transcriptomics/DEGs.tsv
ARL6IP6	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC01108	results/evidence/TP53/transcriptomics/DEGs.tsv
NCAPD3	results/evidence/TP53/transcriptomics/DEGs.tsv
GREB1	results/evidence/TP53/transcriptomics/DEGs.tsv
KPNA2	results/evidence/TP53/transcriptomics/DEGs.tsv
RDM1	results/evidence/TP53/transcriptomics/DEGs.tsv
ANKIB1	results/evidence/TP53/transcriptomics/DEGs.tsv
KBTBD11	results/evidence/TP53/transcriptomics/DEGs.tsv
POLQ	results/evidence/TP53/transcriptomics/DEGs.tsv
MCM8	results/evidence/TP53/transcriptomics/DEGs.tsv
RNF222	results/evidence/TP53/transcriptomics/DEGs.tsv
TPX2	results/evidence/TP53/transcriptomics/DEGs.tsv
CKAP2L	results/evidence/TP53/transcriptomics/DEGs.tsv
APOBEC3B	results/evidence/TP53/transcriptomics/DEGs.tsv
UICLM	results/evidence/TP53/transcriptomics/DEGs.tsv
AK1	results/evidence/TP53/transcriptomics/DEGs.tsv
ZNHIT6	results/evidence/TP53/transcriptomics/DEGs.tsv
WDR53	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC01535	results/evidence/TP53/transcriptomics/DEGs.tsv
BRIX1	results/evidence/TP53/transcriptomics/DEGs.tsv
CCDC150	results/evidence/TP53/transcriptomics/DEGs.tsv
AFF3	results/evidence/TP53/transcriptomics/DEGs.tsv
CENPI	results/evidence/TP53/transcriptomics/DEGs.tsv
RPH3AL	results/evidence/TP53/transcriptomics/DEGs.tsv
DEPDC1	results/evidence/TP53/transcriptomics/DEGs.tsv
SCGB3A2	results/evidence/TP53/transcriptomics/DEGs.tsv
TNS2	results/evidence/TP53/transcriptomics/DEGs.tsv
AC012073.1	results/evidence/TP53/transcriptomics/DEGs.tsv
AC090970.2	results/evidence/TP53/transcriptomics/DEGs.tsv
ERN2	results/evidence/TP53/transcriptomics/DEGs.tsv
BTG1	results/evidence/TP53/transcriptomics/DEGs.tsv
GALNTL6	results/evidence/TP53/transcriptomics/DEGs.tsv
EPHX2	results/evidence/TP53/transcriptomics/DEGs.tsv
PEBP4	results/evidence/TP53/transcriptomics/DEGs.tsv
SLC26A4	results/evidence/TP53/transcriptomics/DEGs.tsv
C19orf57	results/evidence/TP53/transcriptomics/DEGs.tsv
MYBL2	results/evidence/TP53/transcriptomics/DEGs.tsv
CAPN9	results/evidence/TP53/transcriptomics/DEGs.tsv
NUP205	results/evidence/TP53/transcriptomics/DEGs.tsv
CALCOCO1	results/evidence/TP53/transcriptomics/DEGs.tsv
SIL1	results/evidence/TP53/transcriptomics/DEGs.tsv
FRAT1	results/evidence/TP53/transcriptomics/DEGs.tsv
NASP	results/evidence/TP53/transcriptomics/DEGs.tsv
TOP2A	results/evidence/TP53/transcriptomics/DEGs.tsv
SPC24	results/evidence/TP53/transcriptomics/DEGs.tsv
PLAC1	results/evidence/TP53/transcriptomics/DEGs.tsv
INCENP	results/evidence/TP53/transcriptomics/DEGs.tsv
IQGAP3	results/evidence/TP53/transcriptomics/DEGs.tsv
