Rank	Driver	DriverConfidence	ConfidenceTier	QualityScore	QualityTier	ReliabilityScore	NormalizedScore	Completed	DriverReport	DriverManifest
39	PSAP	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/PSAP/Driver_Report.json	results/evidence/PSAP/Driver_Manifest.json
40	RPL3	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/RPL3/Driver_Report.json	results/evidence/RPL3/Driver_Manifest.json
41	RPL8	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/RPL8/Driver_Report.json	results/evidence/RPL8/Driver_Manifest.json
42	RYR2	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/RYR2/Driver_Report.json	results/evidence/RYR2/Driver_Manifest.json
43	SFTPB	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/SFTPB/Driver_Report.json	results/evidence/SFTPB/Driver_Manifest.json
44	SLC34A2	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/SLC34A2/Driver_Report.json	results/evidence/SLC34A2/Driver_Manifest.json
45	SRRM2	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/SRRM2/Driver_Report.json	results/evidence/SRRM2/Driver_Manifest.json
46	SYNE2	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/SYNE2/Driver_Report.json	results/evidence/SYNE2/Driver_Manifest.json
47	TP53	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/TP53/Driver_Report.json	results/evidence/TP53/Driver_Manifest.json
48	TTN	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/TTN/Driver_Report.json	results/evidence/TTN/Driver_Manifest.json
49	VCAN	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/VCAN/Driver_Report.json	results/evidence/VCAN/Driver_Manifest.json
50	ZFHX4	94.8423	A	89.9746	Gold	95.4989	99.9365	TRUE	results/evidence/ZFHX4/Driver_Report.json	results/evidence/ZFHX4/Driver_Manifest.json
