id	filename
7fa9482e-04e2-4a9d-b245-ed37eb5d0ba1	dfb7c0a5-0c5f-46e8-9f0c-f7c53330322b.wxs.aliquot_ensemble_masked.maf.gz
fbf056f2-8cd3-4ad1-83a1-608f41362823	7a5fb9c5-bc52-4c7f-a65f-8660e7fca8d8.wxs.aliquot_ensemble_masked.maf.gz
51fa21b0-c1aa-4509-8957-4db955a9bcff	4fce196c-b38d-487a-b7d2-58c0f1bb24d2.wxs.aliquot_ensemble_masked.maf.gz
aef0b9f8-8760-458e-80ad-54c7264d3eb3	e0e451e5-6912-415e-8e45-747f229dff5a.wxs.aliquot_ensemble_masked.maf.gz
d61d17d6-916d-4f9e-b2bc-d878ccfad1c6	2b394698-3077-43ba-b32f-678399805f34.wxs.aliquot_ensemble_masked.maf.gz
e39fc5e4-1189-43d4-ae37-755097be758b	09f954ab-0a5a-4615-8a18-06a435bba86c.wxs.aliquot_ensemble_masked.maf.gz
b29ecd20-c063-4a22-8ea0-dc1c42fe9232	2a1ea736-4510-43b7-9cc8-11d437c1a50f.wxs.aliquot_ensemble_masked.maf.gz
b3405656-8b22-41e2-b049-f4837c2f0edc	3a49b1fd-2b78-4c15-ba62-42b0d2258e23.wxs.aliquot_ensemble_masked.maf.gz
7c91d8b3-b6cc-437e-9211-f2a9d1314411	037ecdc2-dc6a-45fd-8eb3-6fa1fc4db46e.wxs.aliquot_ensemble_masked.maf.gz
8e0d20ca-4628-4bd1-b8de-db0f29507693	f5ce9296-fb6b-46c7-96f0-147fb37ff33f.wxs.aliquot_ensemble_masked.maf.gz
d41b4708-0ccc-474f-84c8-b85e2f5795dc	6706798d-874b-4b44-a996-35b3c9a19aff.wxs.aliquot_ensemble_masked.maf.gz
b0e5f8aa-e144-4030-9b53-79783e53003f	c3ce02f8-cce9-40c0-bc0b-08f04007c95e.wxs.aliquot_ensemble_masked.maf.gz
5d69f35d-6cb6-43a1-a62a-85344ac5ea7f	80fb6a60-988b-4237-82e1-3694c5dc1306.wxs.aliquot_ensemble_masked.maf.gz
b21a13b1-96e6-4ba0-b2a4-1e0b5d9faccc	d3ef5781-b308-4b21-b2ce-d137612b4279.wxs.aliquot_ensemble_masked.maf.gz
