file_id,file_name,file_size,workflow,patient_count
7014fc4d-6f54-410c-ac28-4d2cc231ed8c,10adc108-a762-4cba-8379-5ddbbefe439d.wxs.aliquot_ensemble_masked.maf.gz,13739,Aliquot Ensemble Somatic Variant Merging and Masking,1
7a9a448f-2d94-48b1-8454-b0cd2cc09fe9,10fb3ac7-3630-4738-b7d3-373e7be06037.wxs.aliquot_ensemble_masked.maf.gz,152697,Aliquot Ensemble Somatic Variant Merging and Masking,1
b9e60d1f-e1a5-4afd-bb85-8d7586646e45,10fd9e5a-9730-4ca1-a470-35eba9903ab7.wxs.aliquot_ensemble_masked.maf.gz,23300,Aliquot Ensemble Somatic Variant Merging and Masking,1
f1bb87b4-6856-4c85-801d-7faa0de441fd,110338c2-7ea1-490f-b8ea-a2d33c61d5a8.wxs.aliquot_ensemble_masked.maf.gz,24918,Aliquot Ensemble Somatic Variant Merging and Masking,1
f1a6c1a4-c8f9-4ed6-9df0-85e7d5c2eadf,111dbfb4-baf4-49f8-be22-f7ff338167fe.wxs.aliquot_ensemble_masked.maf.gz,301555,Aliquot Ensemble Somatic Variant Merging and Masking,1
a05cc25a-f110-4410-8f60-ec64b8b848c3,11453881-ef25-4187-af52-a687736c02f0.wxs.aliquot_ensemble_masked.maf.gz,4675,Aliquot Ensemble Somatic Variant Merging and Masking,1
3050678f-ea4a-419a-9553-ade8d2411e88,1146eae8-cf57-410f-9637-7e404ebcc274.wxs.aliquot_ensemble_masked.maf.gz,345399,Aliquot Ensemble Somatic Variant Merging and Masking,1
35b78980-8e78-4d69-881e-66188ec1e6b3,115a1cb7-19e4-40d3-b239-c019fbc78a15.wxs.aliquot_ensemble_masked.maf.gz,37274,Aliquot Ensemble Somatic Variant Merging and Masking,1
70ccbc99-2137-4eb2-8466-dfc50ca0cb00,11ca7d53-61bd-4567-8e24-0712bf71a43b.wxs.aliquot_ensemble_masked.maf.gz,20284,Aliquot Ensemble Somatic Variant Merging and Masking,1
ad4ea433-b13d-4e71-b2ce-892f9fe33414,123c7e5a-f6d5-45a9-99c6-cde57849ebab.wxs.aliquot_ensemble_masked.maf.gz,171884,Aliquot Ensemble Somatic Variant Merging and Masking,1
12e50a65-f017-45a8-b176-10ceb6e8d754,12c2f455-6d68-4a09-9cda-c38dfacc5824.wxs.aliquot_ensemble_masked.maf.gz,59910,Aliquot Ensemble Somatic Variant Merging and Masking,1
59e1b937-0c64-4550-9cd6-5c2af40e85bc,13342a45-cc05-4876-99a0-2b70116535c0.wxs.aliquot_ensemble_masked.maf.gz,16619,Aliquot Ensemble Somatic Variant Merging and Masking,1
