Driver	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
IGHA1	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
IGHA1	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
IGHA1	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
IGHA1	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
IGHA1	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
HLA-B	Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/188	63/9416	0.142857142857143	7.15501519756839	6.99615191217192	3.88914345205127e-06	0.0010033990106292	0.0009252067580669	PLA2G10/CBR1/PLA2G4F/PLA2G2A/CYP2C9/HPGD/PLA2G1B/CYP2B6/CYP4F3	9
HLA-B	Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	10/188	102/9416	0.0980392156862745	4.91030454735086	5.6673214431093	3.43757575203428e-05	0.0042310681736939	0.0039013521307827	PLA2G10/CPB2/CA2/PLA2G2A/PRSS2/ADCY2/PLA2G1B/PRSS1/CLCA2/CPB1	10
HLA-B	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
HLA-B	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
HLA-B	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
HLA-B	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
HLA-B	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
MACF1	Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/188	63/9416	0.142857142857143	7.15501519756839	6.99615191217192	3.88914345205127e-06	0.0010033990106292	0.0009252067580669	PLA2G10/CBR1/PLA2G4F/PLA2G2A/CYP2C9/HPGD/PLA2G1B/CYP2B6/CYP4F3	9
MACF1	Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	10/188	102/9416	0.0980392156862745	4.91030454735086	5.6673214431093	3.43757575203428e-05	0.0042310681736939	0.0039013521307827	PLA2G10/CPB2/CA2/PLA2G2A/PRSS2/ADCY2/PLA2G1B/PRSS1/CLCA2/CPB1	10
MACF1	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
MACF1	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
MACF1	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
MACF1	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
MACF1	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
IGHG1	Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/188	63/9416	0.142857142857143	7.15501519756839	6.99615191217192	3.88914345205127e-06	0.0010033990106292	0.0009252067580669	PLA2G10/CBR1/PLA2G4F/PLA2G2A/CYP2C9/HPGD/PLA2G1B/CYP2B6/CYP4F3	9
IGHG1	Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	10/188	102/9416	0.0980392156862745	4.91030454735086	5.6673214431093	3.43757575203428e-05	0.0042310681736939	0.0039013521307827	PLA2G10/CPB2/CA2/PLA2G2A/PRSS2/ADCY2/PLA2G1B/PRSS1/CLCA2/CPB1	10
IGHG1	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
IGHG1	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
IGHG1	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
IGHG1	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
IGHG1	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
LRP1	Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/188	63/9416	0.142857142857143	7.15501519756839	6.99615191217192	3.88914345205127e-06	0.0010033990106292	0.0009252067580669	PLA2G10/CBR1/PLA2G4F/PLA2G2A/CYP2C9/HPGD/PLA2G1B/CYP2B6/CYP4F3	9
LRP1	Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	10/188	102/9416	0.0980392156862745	4.91030454735086	5.6673214431093	3.43757575203428e-05	0.0042310681736939	0.0039013521307827	PLA2G10/CPB2/CA2/PLA2G2A/PRSS2/ADCY2/PLA2G1B/PRSS1/CLCA2/CPB1	10
LRP1	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
LRP1	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
LRP1	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
LRP1	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
LRP1	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
A2M	Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/188	63/9416	0.142857142857143	7.15501519756839	6.99615191217192	3.88914345205127e-06	0.0010033990106292	0.0009252067580669	PLA2G10/CBR1/PLA2G4F/PLA2G2A/CYP2C9/HPGD/PLA2G1B/CYP2B6/CYP4F3	9
A2M	Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	10/188	102/9416	0.0980392156862745	4.91030454735086	5.6673214431093	3.43757575203428e-05	0.0042310681736939	0.0039013521307827	PLA2G10/CPB2/CA2/PLA2G2A/PRSS2/ADCY2/PLA2G1B/PRSS1/CLCA2/CPB1	10
A2M	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
A2M	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
A2M	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
A2M	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
A2M	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
EEF2	Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/188	63/9416	0.142857142857143	7.15501519756839	6.99615191217192	3.88914345205127e-06	0.0010033990106292	0.0009252067580669	PLA2G10/CBR1/PLA2G4F/PLA2G2A/CYP2C9/HPGD/PLA2G1B/CYP2B6/CYP4F3	9
EEF2	Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	10/188	102/9416	0.0980392156862745	4.91030454735086	5.6673214431093	3.43757575203428e-05	0.0042310681736939	0.0039013521307827	PLA2G10/CPB2/CA2/PLA2G2A/PRSS2/ADCY2/PLA2G1B/PRSS1/CLCA2/CPB1	10
EEF2	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
EEF2	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
EEF2	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
EEF2	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
EEF2	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
COL6A3	Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/188	63/9416	0.142857142857143	7.15501519756839	6.99615191217192	3.88914345205127e-06	0.0010033990106292	0.0009252067580669	PLA2G10/CBR1/PLA2G4F/PLA2G2A/CYP2C9/HPGD/PLA2G1B/CYP2B6/CYP4F3	9
COL6A3	Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	10/188	102/9416	0.0980392156862745	4.91030454735086	5.6673214431093	3.43757575203428e-05	0.0042310681736939	0.0039013521307827	PLA2G10/CPB2/CA2/PLA2G2A/PRSS2/ADCY2/PLA2G1B/PRSS1/CLCA2/CPB1	10
COL6A3	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
COL6A3	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
COL6A3	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
COL6A3	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
COL6A3	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
ZFHX4	Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/188	63/9416	0.142857142857143	7.15501519756839	6.99615191217192	3.88914345205127e-06	0.0010033990106292	0.0009252067580669	PLA2G10/CBR1/PLA2G4F/PLA2G2A/CYP2C9/HPGD/PLA2G1B/CYP2B6/CYP4F3	9
ZFHX4	Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	10/188	102/9416	0.0980392156862745	4.91030454735086	5.6673214431093	3.43757575203428e-05	0.0042310681736939	0.0039013521307827	PLA2G10/CPB2/CA2/PLA2G2A/PRSS2/ADCY2/PLA2G1B/PRSS1/CLCA2/CPB1	10
ZFHX4	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
ZFHX4	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
ZFHX4	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
ZFHX4	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
ZFHX4	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
IGKC	Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/188	63/9416	0.142857142857143	7.15501519756839	6.99615191217192	3.88914345205127e-06	0.0010033990106292	0.0009252067580669	PLA2G10/CBR1/PLA2G4F/PLA2G2A/CYP2C9/HPGD/PLA2G1B/CYP2B6/CYP4F3	9
IGKC	Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	10/188	102/9416	0.0980392156862745	4.91030454735086	5.6673214431093	3.43757575203428e-05	0.0042310681736939	0.0039013521307827	PLA2G10/CPB2/CA2/PLA2G2A/PRSS2/ADCY2/PLA2G1B/PRSS1/CLCA2/CPB1	10
IGKC	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/188	371/9416	0.0539083557951483	2.70000573493147	4.76835246113276	4.91984671359766e-05	0.0042310681736939	0.0039013521307827	CRHR2/GRIK5/VGF/PRSS2/GRIN2A/CTSG/GRIK3/HTR1B/GRIA1/NMU/PRSS1/PTH2R/GABRG3/GABRQ/AGTR2/NPFFR2/CALCA/CGA/GABRA3/HTR2C	20
IGKC	Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	5/188	30/9416	0.166666666666667	8.34751773049645	5.75302536806924	0.0002857130075843	0.0184284889891936	0.0169924051879142	PLA2G10/PLA2G4F/PLA2G2A/CYP2C9/PLA2G1B	5
IGKC	Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	7/188	75/9416	0.0933333333333333	4.67460992907801	4.56016423091551	0.0007139980766741	0.0368423007563886	0.0339712769112355	DUOX2/DUOXA2/DUOX1/SLC26A4/ADCY2/ALB/CGA	7
IGKC	Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/188	23/9416	0.173913043478261	8.7104532839963	5.28417218811032	0.0010122929599566	0.0435285972781363	0.0401365278860009	CMA1/CTSG/ACE2/AGTR2	4
IGKC	Human Diseases	Substance dependence	hsa05033	Nicotine addiction	5/188	41/9416	0.121951219512195	6.10793980280228	4.6782923153636	0.001258119552064	0.0463706920617905	0.0427571456791703	GRIN2A/GRIA1/GABRG3/GABRQ/GABRA3	5
