Value	Percentile
4	0
4	0.0181818181818182
5	0.0363636363636364
5	0.0545454545454545
5	0.0727272727272727
5	0.0909090909090909
6	0.109090909090909
6	0.127272727272727
6	0.145454545454545
6	0.163636363636364
6	0.181818181818182
7	0.2
7	0.218181818181818
7	0.236363636363636
7	0.254545454545455
7	0.272727272727273
8	0.290909090909091
8	0.309090909090909
8	0.327272727272727
8	0.345454545454545
9	0.363636363636364
9	0.381818181818182
9	0.4
9	0.418181818181818
10	0.436363636363636
10	0.454545454545455
11	0.472727272727273
11	0.490909090909091
12	0.509090909090909
12	0.527272727272727
12	0.545454545454545
12	0.563636363636364
12	0.581818181818182
12	0.6
12	0.618181818181818
13	0.636363636363636
13	0.654545454545455
13	0.672727272727273
14	0.690909090909091
15	0.709090909090909
15	0.727272727272727
15	0.745454545454545
16	0.763636363636364
16	0.781818181818182
17	0.8
18	0.818181818181818
18	0.836363636363636
19	0.854545454545454
19	0.872727272727273
19	0.890909090909091
19	0.909090909090909
19	0.927272727272727
19	0.945454545454545
21	0.963636363636364
22	0.981818181818182
22	1
