Value	Percentile
1	0
2	4.19938688951413e-05
3	8.39877377902826e-05
4	0.000125981606685424
5	0.000167975475580565
6	0.000209969344475707
7	0.000251963213370848
8	0.000293957082265989
9	0.00033595095116113
10	0.000377944820056272
11	0.000419938688951413
12	0.000461932557846554
13	0.000503926426741696
14	0.000545920295636837
15	0.000587914164531978
16	0.00062990803342712
17	0.000671901902322261
18	0.000713895771217402
19	0.000755889640112544
20	0.000797883509007685
21	0.000839877377902826
22	0.000881871246797967
23	0.000923865115693109
24	0.00096585898458825
25	0.00100785285348339
26	0.00104984672237853
27	0.00109184059127367
28	0.00113383446016882
29	0.00117582832906396
30	0.0012178221979591
31	0.00125981606685424
32	0.00130180993574938
33	0.00134380380464452
34	0.00138579767353966
35	0.0014277915424348
36	0.00146978541132995
37	0.00151177928022509
38	0.00155377314912023
39	0.00159576701801537
40	0.00163776088691051
41	0.00167975475580565
42	0.00172174862470079
43	0.00176374249359593
44	0.00180573636249108
45	0.00184773023138622
46	0.00188972410028136
47	0.0019317179691765
48	0.00197371183807164
49	0.00201570570696678
50	0.00205769957586192
51	0.00209969344475707
52	0.00214168731365221
53	0.00218368118254735
54	0.00222567505144249
55	0.00226766892033763
56	0.00230966278923277
57	0.00235165665812791
58	0.00239365052702305
59	0.0024356443959182
60	0.00247763826481334
61	0.00251963213370848
62	0.00256162600260362
63	0.00260361987149876
64	0.0026456137403939
65	0.00268760760928904
66	0.00272960147818419
67	0.00277159534707933
68	0.00281358921597447
69	0.00285558308486961
70	0.00289757695376475
71	0.00293957082265989
72	0.00298156469155503
73	0.00302355856045017
74	0.00306555242934532
75	0.00310754629824046
76	0.0031495401671356
77	0.00319153403603074
78	0.00323352790492588
79	0.00327552177382102
80	0.00331751564271616
81	0.0033595095116113
82	0.00340150338050645
83	0.00344349724940159
84	0.00348549111829673
85	0.00352748498719187
86	0.00356947885608701
87	0.00361147272498215
88	0.00365346659387729
89	0.00369546046277244
90	0.00373745433166758
91	0.00377944820056272
92	0.00382144206945786
93	0.003863435938353
94	0.00390542980724814
95	0.00394742367614328
96	0.00398941754503842
97	0.00403141141393357
98	0.00407340528282871
99	0.00411539915172385
100	0.00415739302061899
101	0.00419938688951413
102	0.00424138075840927
103	0.00428337462730441
104	0.00432536849619955
105	0.0043673623650947
106	0.00440935623398984
107	0.00445135010288498
108	0.00449334397178012
109	0.00453533784067526
110	0.0045773317095704
111	0.00461932557846554
112	0.00466131944736069
113	0.00470331331625583
114	0.00474530718515097
115	0.00478730105404611
116	0.00482929492294125
117	0.00487128879183639
118	0.00491328266073153
119	0.00495527652962667
120	0.00499727039852182
121	0.00503926426741696
122	0.0050812581363121
123	0.00512325200520724
124	0.00516524587410238
125	0.00520723974299752
126	0.00524923361189266
127	0.00529122748078781
128	0.00533322134968295
129	0.00537521521857809
130	0.00541720908747323
131	0.00545920295636837
132	0.00550119682526351
133	0.00554319069415865
134	0.00558518456305379
135	0.00562717843194894
136	0.00566917230084408
137	0.00571116616973922
138	0.00575316003863436
139	0.0057951539075295
140	0.00583714777642464
141	0.00587914164531978
142	0.00592113551421492
143	0.00596312938311007
144	0.00600512325200521
145	0.00604711712090035
146	0.00608911098979549
147	0.00613110485869063
148	0.00617309872758577
149	0.00621509259648091
150	0.00625708646537605
151	0.0062990803342712
152	0.00634107420316634
153	0.00638306807206148
154	0.00642506194095662
155	0.00646705580985176
156	0.0065090496787469
157	0.00655104354764204
158	0.00659303741653719
159	0.00663503128543233
160	0.00667702515432747
161	0.00671901902322261
162	0.00676101289211775
163	0.00680300676101289
164	0.00684500062990803
165	0.00688699449880317
166	0.00692898836769832
167	0.00697098223659346
168	0.0070129761054886
169	0.00705496997438374
170	0.00709696384327888
171	0.00713895771217402
172	0.00718095158106916
173	0.00722294544996431
174	0.00726493931885945
175	0.00730693318775459
176	0.00734892705664973
177	0.00739092092554487
178	0.00743291479444001
179	0.00747490866333515
180	0.00751690253223029
181	0.00755889640112544
182	0.00760089027002058
183	0.00764288413891572
184	0.00768487800781086
185	0.007726871876706
186	0.00776886574560114
187	0.00781085961449628
188	0.00785285348339142
189	0.00789484735228657
190	0.00793684122118171
191	0.00797883509007685
192	0.00802082895897199
193	0.00806282282786713
194	0.00810481669676227
195	0.00814681056565741
196	0.00818880443455255
197	0.0082307983034477
198	0.00827279217234284
199	0.00831478604123798
200	0.00835677991013312
201	0.00839877377902826
202	0.0084407676479234
203	0.00848276151681854
204	0.00852475538571369
205	0.00856674925460883
206	0.00860874312350397
207	0.00865073699239911
208	0.00869273086129425
209	0.00873472473018939
210	0.00877671859908453
211	0.00881871246797968
212	0.00886070633687482
213	0.00890270020576996
214	0.0089446940746651
215	0.00898668794356024
216	0.00902868181245538
217	0.00907067568135052
218	0.00911266955024566
219	0.00915466341914081
220	0.00919665728803595
221	0.00923865115693109
222	0.00928064502582623
223	0.00932263889472137
224	0.00936463276361651
225	0.00940662663251165
226	0.00944862050140679
227	0.00949061437030194
228	0.00953260823919708
229	0.00957460210809222
230	0.00961659597698736
231	0.0096585898458825
232	0.00970058371477764
233	0.00974257758367278
234	0.00978457145256792
235	0.00982656532146307
236	0.00986855919035821
237	0.00991055305925335
238	0.00995254692814849
239	0.00999454079704363
240	0.0100365346659388
241	0.0100785285348339
242	0.0101205224037291
243	0.0101625162726242
244	0.0102045101415193
245	0.0102465040104145
246	0.0102884978793096
247	0.0103304917482048
248	0.0103724856170999
249	0.010414479485995
250	0.0104564733548902
251	0.0104984672237853
252	0.0105404610926805
253	0.0105824549615756
254	0.0106244488304708
255	0.0106664426993659
256	0.010708436568261
257	0.0107504304371562
258	0.0107924243060513
259	0.0108344181749465
260	0.0108764120438416
261	0.0109184059127367
262	0.0109603997816319
263	0.011002393650527
264	0.0110443875194222
265	0.0110863813883173
266	0.0111283752572124
267	0.0111703691261076
268	0.0112123629950027
269	0.0112543568638979
270	0.011296350732793
271	0.0113383446016882
272	0.0113803384705833
273	0.0114223323394784
274	0.0114643262083736
275	0.0115063200772687
276	0.0115483139461639
277	0.011590307815059
278	0.0116323016839541
279	0.0116742955528493
280	0.0117162894217444
281	0.0117582832906396
282	0.0118002771595347
283	0.0118422710284298
284	0.011884264897325
285	0.0119262587662201
286	0.0119682526351153
287	0.0120102465040104
288	0.0120522403729056
289	0.0120942342418007
290	0.0121362281106958
291	0.012178221979591
292	0.0122202158484861
293	0.0122622097173813
294	0.0123042035862764
295	0.0123461974551715
296	0.0123881913240667
297	0.0124301851929618
298	0.012472179061857
299	0.0125141729307521
300	0.0125561667996473
301	0.0125981606685424
302	0.0126401545374375
303	0.0126821484063327
304	0.0127241422752278
305	0.012766136144123
306	0.0128081300130181
307	0.0128501238819132
308	0.0128921177508084
309	0.0129341116197035
310	0.0129761054885987
311	0.0130180993574938
312	0.0130600932263889
313	0.0131020870952841
314	0.0131440809641792
315	0.0131860748330744
316	0.0132280687019695
317	0.0132700625708647
318	0.0133120564397598
319	0.0133540503086549
320	0.0133960441775501
321	0.0134380380464452
322	0.0134800319153404
323	0.0135220257842355
324	0.0135640196531306
325	0.0136060135220258
326	0.0136480073909209
327	0.0136900012598161
328	0.0137319951287112
329	0.0137739889976063
330	0.0138159828665015
331	0.0138579767353966
332	0.0138999706042918
333	0.0139419644731869
334	0.0139839583420821
335	0.0140259522109772
336	0.0140679460798723
337	0.0141099399487675
338	0.0141519338176626
339	0.0141939276865578
340	0.0142359215554529
341	0.014277915424348
342	0.0143199092932432
343	0.0143619031621383
344	0.0144038970310335
345	0.0144458908999286
346	0.0144878847688238
347	0.0145298786377189
348	0.014571872506614
349	0.0146138663755092
350	0.0146558602444043
351	0.0146978541132995
352	0.0147398479821946
353	0.0147818418510897
354	0.0148238357199849
355	0.01486582958888
356	0.0149078234577752
357	0.0149498173266703
358	0.0149918111955654
359	0.0150338050644606
360	0.0150757989333557
361	0.0151177928022509
362	0.015159786671146
363	0.0152017805400412
364	0.0152437744089363
365	0.0152857682778314
366	0.0153277621467266
367	0.0153697560156217
368	0.0154117498845169
369	0.015453743753412
370	0.0154957376223071
371	0.0155377314912023
372	0.0155797253600974
373	0.0156217192289926
374	0.0156637130978877
375	0.0157057069667828
376	0.015747700835678
377	0.0157896947045731
378	0.0158316885734683
379	0.0158736824423634
380	0.0159156763112586
381	0.0159576701801537
382	0.0159996640490488
383	0.016041657917944
384	0.0160836517868391
385	0.0161256456557343
386	0.0161676395246294
387	0.0162096333935245
388	0.0162516272624197
389	0.0162936211313148
390	0.01633561500021
391	0.0163776088691051
392	0.0164196027380003
393	0.0164615966068954
394	0.0165035904757905
395	0.0165455843446857
396	0.0165875782135808
397	0.016629572082476
398	0.0166715659513711
399	0.0167135598202662
400	0.0167555536891614
401	0.0167975475580565
402	0.0168395414269517
403	0.0168815352958468
404	0.0169235291647419
405	0.0169655230336371
406	0.0170075169025322
407	0.0170495107714274
408	0.0170915046403225
409	0.0171334985092177
410	0.0171754923781128
411	0.0172174862470079
412	0.0172594801159031
413	0.0173014739847982
414	0.0173434678536934
415	0.0173854617225885
416	0.0174274555914836
417	0.0174694494603788
418	0.0175114433292739
419	0.0175534371981691
420	0.0175954310670642
421	0.0176374249359594
422	0.0176794188048545
423	0.0177214126737496
424	0.0177634065426448
425	0.0178054004115399
426	0.0178473942804351
427	0.0178893881493302
428	0.0179313820182253
429	0.0179733758871205
430	0.0180153697560156
431	0.0180573636249108
432	0.0180993574938059
433	0.018141351362701
434	0.0181833452315962
435	0.0182253391004913
436	0.0182673329693865
437	0.0183093268382816
438	0.0183513207071768
439	0.0183933145760719
440	0.018435308444967
441	0.0184773023138622
442	0.0185192961827573
443	0.0185612900516525
444	0.0186032839205476
445	0.0186452777894427
446	0.0186872716583379
447	0.018729265527233
448	0.0187712593961282
449	0.0188132532650233
450	0.0188552471339184
451	0.0188972410028136
452	0.0189392348717087
453	0.0189812287406039
454	0.019023222609499
455	0.0190652164783942
456	0.0191072103472893
457	0.0191492042161844
458	0.0191911980850796
459	0.0192331919539747
460	0.0192751858228699
461	0.019317179691765
462	0.0193591735606601
463	0.0194011674295553
464	0.0194431612984504
465	0.0194851551673456
466	0.0195271490362407
467	0.0195691429051358
468	0.019611136774031
469	0.0196531306429261
470	0.0196951245118213
471	0.0197371183807164
472	0.0197791122496116
473	0.0198211061185067
474	0.0198630999874018
475	0.019905093856297
476	0.0199470877251921
477	0.0199890815940873
478	0.0200310754629824
479	0.0200730693318775
480	0.0201150632007727
481	0.0201570570696678
482	0.020199050938563
483	0.0202410448074581
484	0.0202830386763533
485	0.0203250325452484
486	0.0203670264141435
487	0.0204090202830387
488	0.0204510141519338
489	0.020493008020829
490	0.0205350018897241
491	0.0205769957586192
492	0.0206189896275144
493	0.0206609834964095
494	0.0207029773653047
495	0.0207449712341998
496	0.0207869651030949
497	0.0208289589719901
498	0.0208709528408852
499	0.0209129467097804
