Value	Percentile
26	0
32	0.0204081632653061
34	0.0408163265306122
35	0.0612244897959184
41	0.0816326530612245
43	0.102040816326531
48	0.122448979591837
54	0.142857142857143
57	0.163265306122449
73	0.183673469387755
85	0.204081632653061
96	0.224489795918367
97	0.244897959183673
98	0.26530612244898
102	0.285714285714286
103	0.306122448979592
103	0.326530612244898
104	0.346938775510204
112	0.36734693877551
127	0.387755102040816
143	0.408163265306122
146	0.428571428571429
148	0.448979591836735
155	0.469387755102041
160	0.489795918367347
166	0.510204081632653
182	0.530612244897959
183	0.551020408163265
185	0.571428571428571
191	0.591836734693878
193	0.612244897959184
194	0.63265306122449
195	0.653061224489796
195	0.673469387755102
195	0.693877551020408
196	0.714285714285714
196	0.73469387755102
196	0.755102040816326
197	0.775510204081633
197	0.795918367346939
197	0.816326530612245
198	0.836734693877551
198	0.857142857142857
199	0.877551020408163
199	0.897959183673469
199	0.918367346938776
199	0.938775510204082
199	0.959183673469388
200	0.979591836734694
200	1
