Value	Percentile
-0.637814991379032	0
-0.598988699495083	0.0204081632653061
-0.59248653703045	0.0408163265306122
-0.560055023151397	0.0612244897959184
-0.537712367137959	0.0816326530612245
-0.53373569586792	0.102040816326531
-0.507666520059056	0.122448979591837
-0.475278138862497	0.142857142857143
-0.47215663149513	0.163265306122449
-0.467967438628567	0.183673469387755
-0.44520354583939	0.204081632653061
-0.418177338636133	0.224489795918367
-0.416908107835862	0.244897959183673
-0.38315738295255	0.26530612244898
-0.38120529938586	0.285714285714286
-0.372608845231926	0.306122448979592
-0.361404431154127	0.326530612244898
-0.344417391502995	0.346938775510204
-0.336718177415906	0.36734693877551
-0.336305861927332	0.387755102040816
-0.328071955864522	0.408163265306122
-0.326831389081015	0.428571428571429
-0.316997918156085	0.448979591836735
-0.275748022838639	0.469387755102041
-0.273886733369288	0.489795918367347
-0.264442182646561	0.510204081632653
-0.262742643912271	0.530612244897959
-0.223449032242178	0.551020408163265
-0.207892483478512	0.571428571428571
0.242602768877298	0.591836734693878
0.314033993161155	0.612244897959184
0.317588317538461	0.63265306122449
0.339809132911956	0.653061224489796
0.342671249053483	0.673469387755102
0.34740323952874	0.693877551020408
0.352610678148088	0.714285714285714
0.353328413946304	0.73469387755102
0.35736897581661	0.755102040816326
0.360999285324619	0.775510204081633
0.382420641730115	0.795918367346939
0.392959689609833	0.816326530612245
0.409706181737947	0.836734693877551
0.468267014896155	0.857142857142857
0.537822175803026	0.877551020408163
0.596150673238948	0.897959183673469
0.610686575117468	0.918367346938776
0.622527119373264	0.938775510204082
0.678177156307343	0.959183673469388
0.808189660593852	0.979591836734694
0.824277193427973	1
