Value	Percentile
1	0
2	0.0181818181818182
3	0.0363636363636364
4	0.0545454545454545
5	0.0727272727272727
6	0.0909090909090909
7	0.109090909090909
8	0.127272727272727
9	0.145454545454545
10	0.163636363636364
11	0.181818181818182
12	0.2
13	0.218181818181818
14	0.236363636363636
15	0.254545454545455
16	0.272727272727273
17	0.290909090909091
18	0.309090909090909
19	0.327272727272727
20	0.345454545454545
21	0.363636363636364
22	0.381818181818182
23	0.4
24	0.418181818181818
25	0.436363636363636
26	0.454545454545455
27	0.472727272727273
28	0.490909090909091
29	0.509090909090909
30	0.527272727272727
31	0.545454545454545
32	0.563636363636364
33	0.581818181818182
34	0.6
35	0.618181818181818
36	0.636363636363636
37	0.654545454545455
38	0.672727272727273
39	0.690909090909091
40	0.709090909090909
41	0.727272727272727
42	0.745454545454545
43	0.763636363636364
44	0.781818181818182
45	0.8
46	0.818181818181818
47	0.836363636363636
48	0.854545454545454
49	0.872727272727273
50	0.890909090909091
51	0.909090909090909
52	0.927272727272727
53	0.945454545454545
54	0.963636363636364
55	0.981818181818182
56	1
