STRING_id	Gene	Degree	Betweenness	Closeness	Eigenvector	PageRank	CompositeScore
9606.ENSP00000296695	SPINK1	12	0.000950915047111439	0.275042444821732	0.0706650108868886	0.00263621794544026	0.347648829044456
9606.ENSP00000358813	TTK	14	0.0023627757174039	0.231593995711222	0.00381873342876926	0.00395333449428007	0.328660194696838
9606.ENSP00000350036	SMC1B	10	0.0115815009293715	0.192972007147111	0.000284221089490551	0.0038518603625721	0.269760001288482
9606.ENSP00000451172	SERPINA4	8	0.0003261557550381	0.309160305343511	0.120039630359062	0.00183543110093053	0.254500366980546
9606.ENSP00000495061	PITX2	12	0.00563311224112225	0.231263383297645	0.00311367957399385	0.00371990447097404	0.245726784028398
9606.ENSP00000411821	ALDH3A1	12	0.0035519648310346	0.243060765191298	0.0357117836602568	0.00312899539357548	0.219800803034501
9606.ENSP00000462701	CDH8	10	0.00937600224499311	0.227208976157083	0.00252962970269949	0.00357336199920572	0.21466174136699
9606.ENSP00000417898	PAEP	10	0.00489280618921108	0.261079774375504	0.0539217649966487	0.00269041256325602	0.206584049966433
9606.ENSP00000391269	RBFOX1	12	0.00424523764498307	0.242696629213483	0.0159706665307254	0.00341616816519889	0.204175948827005
9606.ENSP00000311997	NEFH	8	0.000668973658971424	0.315789473684211	0.0949566173772719	0.00198541209706852	0.138822607096815
9606.ENSP00000244869	EREG	12	0.00445913980262303	0.230769230769231	0.00667588871173972	0.00339575756930497	0.0466199621031178
9606.ENSP00000286574	WIF1	10	0.00469440383003568	0.278589853826311	0.0197038434598787	0.00276706865244311	-0.00632942897377164
9606.ENSP00000281830	KCNE4	8	0.0092360385025207	0.280762564991335	0.0223522791279766	0.00240698867097343	-0.0167462546479607
9606.ENSP00000369889	COL2A1	10	0.003531000359753	0.25253312548714	0.0260364282453822	0.00309835009161855	-0.0172719469085303
9606.ENSP00000359337	GABRA3	12	0.00162910419906296	0.260032102728732	0.0260620805236337	0.00284795812731022	-0.0369373524179241
9606.ENSP00000362183	GRIK3	12	0.00109424483216776	0.266886326194399	0.0266222559221979	0.00281862146743608	-0.0405745174008005
9606.ENSP00000360718	RAB3B	6	0.010712377908399	0.283216783216783	0.0386224199715736	0.00212433257810406	-0.0578068903054965
9606.ENSP00000292641	SCGB3A1	10	0.000127916875762611	0.263628966639544	0.0900032482531158	0.00201417000393465	-0.0580308683219631
9606.ENSP00000261917	HCN4	10	0.00504896354252924	0.227848101265823	0.00218446365890496	0.0035166980697593	-0.099565147954623
9606.ENSP00000220478	SCG3	10	0.000625280411736666	0.263414634146341	0.046427878337042	0.00270093451575947	-0.132720863533146
9606.ENSP00000352248	ANXA10	10	0.000370053536863971	0.272497897392767	0.0710957024013071	0.00209723921468445	-0.137756442119475
9606.ENSP00000276198	HTR2C	12	0.000490327806795526	0.261290322580645	0.0225710168922272	0.00282200391114415	-0.152129981894943
9606.ENSP00000380676	CDHR5	8	0.00905719301855831	0.235294117647059	0.00288113772034065	0.00311471189554544	-0.153635405280015
9606.ENSP00000295453	ALPG	8	0.00708856323783538	0.2592	0.0105288723473383	0.00292713240120503	-0.157144820629167
9606.ENSP00000482232	CGA	8	0.00718717471994201	0.211764705882353	0.00235059517807521	0.00354237547084075	-0.219071184350959
9606.ENSP00000358963	HTR1B	10	0.00145681635222036	0.271812080536913	0.0449656755726041	0.0022832461335354	-0.240255270485268
9606.ENSP00000497767	ALDOB	6	0.00176309802988821	0.310642377756472	0.0818754077000324	0.00172236308664268	-0.253706144449537
9606.ENSP00000379383	ENAM	6	0.00144365226463702	0.312138728323699	0.0865867486021754	0.00164419785590864	-0.256494776343001
9606.ENSP00000437621	HMGA2	8	0.00753820910570426	0.264705882352941	0.0136595484126898	0.00251185000204904	-0.260439024447638
9606.ENSP00000360157	FOXD3	10	0.00243495202405341	0.259615384615385	0.00763725494212851	0.00299189262833078	-0.281147394119729
9606.ENSP00000299529	CRABP1	8	0.0052157460087097	0.271129707112971	0.0170638868488958	0.00260674770004781	-0.298514924281711
9606.ENSP00000354660	MAGEC2	12	0	0.247328244274809	0.0115872115060862	0.00297912051244566	-0.301176789005689
9606.ENSP00000359310	CSAG1	12	0	0.247328244274809	0.0115872115060862	0.00297912051244489	-0.301176789006053
9606.ENSP00000377447	MAGEA12	12	0	0.247328244274809	0.0115872115060862	0.00297912051244408	-0.301176789006435
9606.ENSP00000480637	MAGEA6	12	0	0.247328244274809	0.0115872115060862	0.00297912051244237	-0.301176789007246
9606.ENSP00000364265	FOXE1	10	0.00173056539560268	0.261079774375504	0.0195711093339258	0.00269029857988117	-0.343940452773442
9606.ENSP00000262545	PCSK2	8	0.00360135279954859	0.260240963855422	0.0404410813171442	0.0023723797003799	-0.349252522008183
9606.ENSP00000244336	CEACAM8	8	1.4344529005803e-05	0.261924009700889	0.0917142128077352	0.00172854144302459	-0.374844350231167
9606.ENSP00000427018	RIMS2	6	0.00699300699300699	0.221462747778537	0.00282494826552459	0.00334956105558318	-0.442572456452782
9606.ENSP00000361636	TNNC2	6	0.0109910557975712	0.232758620689655	0.00270603934505043	0.00262626351247471	-0.453844108146051
9606.ENSP00000306606	ADH1B	10	0.000292468553926658	0.245640636846096	0.0337459981817146	0.00251975860148206	-0.470611572986092
9606.ENSP00000319705	DUOXA2	10	1.0589145916343e-05	0.25796178343949	0.0220836746884312	0.00263876252785434	-0.476144040867012
9606.ENSP00000267803	DUOXA1	10	1.0589145916343e-05	0.25796178343949	0.0220836746884312	0.00263876252785313	-0.476144040867584
9606.ENSP00000283147	BMP6	8	0.00350192443215699	0.251162790697674	0.0163985669184486	0.00269200571091851	-0.496023582684156
9606.ENSP00000386096	MYO18B	6	0.00699300699300699	0.189362945645821	0.000197927037194156	0.00362392844736186	-0.527317260539618
9606.ENSP00000345502	PDE4D	8	0.00189412777882448	0.273879966187658	0.0219745046547468	0.00239440642683508	-0.55510920060418
9606.ENSP00000463092	MSMB	8	0.00218453191218843	0.254716981132075	0.0427832107708231	0.00205011834359401	-0.60524852858197
9606.ENSP00000377003	TSPAN8	6	0.00768642150647825	0.252730109204368	0.00737110081573733	0.00242069494509777	-0.607363090397882
9606.ENSP00000358865	INA	8	0.000776826920835379	0.274343776460627	0.0374556826072621	0.00208882650252908	-0.617995433374968
