gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1970	PGC	protein_coding	76211.2628347824	-5.03452979271482	0.263926230696433	-19.0755188653663	4.03398954287717e-81	9.60654269740769e-77
5942	EDA2R	protein_coding	164.346371081428	-2.10360784893525	0.112984555217938	-18.6185434361144	2.27313215696077e-77	2.70661845929319e-73
13621	GKN2	protein_coding	772.227275877967	-4.09418923413696	0.231426583914482	-17.6910930666888	4.91134039192762e-70	3.89862200311215e-66
7227	COL2A1	protein_coding	139.403346319691	4.08088884023697	0.241963447710109	16.8657244673013	8.04101341661476e-64	4.7872173375816e-60
1037	PLA2G10	protein_coding	285.336586102426	-2.150427459743	0.155999182386638	-13.7848636566136	3.14359938324531e-43	1.49723351425208e-39
7355	DUOX2	protein_coding	584.587833630992	-2.30878620619005	0.17189288738503	-13.431540078901	3.95108049113567e-41	1.56818384693175e-37
6575	FAIM2	protein_coding	270.862399865326	-2.10892897746393	0.157872762244226	-13.3584093132003	1.05800927497303e-40	3.59934755345826e-37
12210	TNFRSF10C	protein_coding	145.342130348437	-1.30621970430659	0.0989538631797996	-13.2002901385789	8.73977833393335e-40	2.60161351555361e-36
6354	REG4	protein_coding	159.637339027084	-3.95876946128607	0.302896641942545	-13.0697040280724	4.90560187507044e-39	1.29802225614364e-35
11673	HSD17B13	protein_coding	102.807131616915	-2.13089541795713	0.168976610730393	-12.6105939085086	1.84596664437914e-36	3.99634996993135e-33
5355	PCSK2	protein_coding	894.984424608588	-3.40408987395205	0.277705162984596	-12.257927931073	1.52345732520849e-34	3.02330106187625e-31
7354	DUOXA2	protein_coding	60.0103385879923	-2.25689233225044	0.185177419968856	-12.1877296520818	3.61348487875398e-34	6.61934837712671e-31
5506	AUNIP	protein_coding	137.82695561986	1.12734566252204	0.0951556757111838	11.8473822406953	2.22018349132329e-32	3.34530428163774e-29
10783	ASPG	protein_coding	196.952828609652	-2.37565578499659	0.200539005635035	-11.8463526707622	2.24762192433878e-32	3.34530428163774e-29
177	CACNA2D2	protein_coding	2474.01513922842	-1.79381368901367	0.15394728780441	-11.6521292099196	2.23796213623607e-31	2.80499106906978e-28
8651	NPAS3	protein_coding	193.704258118747	-2.17947129935075	0.189772447132083	-11.4846561357446	1.57561112099513e-30	1.70552741978991e-27
4624	SLC46A2	protein_coding	238.636716095515	-1.83485103549027	0.161627910272618	-11.352315527655	7.2224294836332e-30	7.16645565513504e-27
7002	DUOX1	protein_coding	2016.68559346691	-1.44136338848078	0.130192887076806	-11.0709841439377	1.73484818304675e-28	1.53013609744723e-25
13850	MUC6	protein_coding	962.966137703304	-2.94489112082274	0.267498262599607	-11.0090102724542	3.45781302630611e-28	2.94086997887334e-25
19175	PTCHD4	protein_coding	94.5050214730296	-1.63055532297107	0.148480942073542	-10.9815798593429	4.68655083953794e-28	3.84846626526746e-25
1359	RBFOX1	protein_coding	37.5945893388086	-3.07383483682351	0.280664584841595	-10.9519868299678	6.50058736451564e-28	5.16016624995252e-25
1318	PAK3	protein_coding	297.031744935672	-1.92025511867307	0.175781299938623	-10.9241149049618	8.83980055344779e-28	6.47149608094153e-25
5001	CIT	protein_coding	6899.58777096165	-1.41623904367988	0.130606437035719	-10.843562352846	2.139733648559e-27	1.45587477447955e-24
4223	ODC1	protein_coding	15716.2182442075	-1.50033323482225	0.140007218936986	-10.7161133991063	8.55219690825055e-27	5.50437884251564e-24
1108	TRIP13	protein_coding	1088.64224472012	1.08388744034915	0.101722809527972	10.655303814147	1.6470598529705e-26	1.00572008560614e-23
7774	SELENBP1	protein_coding	9635.65283960035	-1.16238492353382	0.109771324095773	-10.5891491526481	3.34619458608664e-26	1.99215694682668e-23
8314	SYBU	protein_coding	1532.18024751375	-1.46643463543357	0.13884653109385	-10.5615503958278	4.49180793280306e-26	2.60897351492127e-23
3944	PDE4D	protein_coding	3045.60718492261	-1.15229284780937	0.109333495292638	-10.5392482397566	5.6952324914656e-26	3.22919682266099e-23
6819	ALDOB	protein_coding	95.5536955050403	-2.03436201049411	0.193432273950853	-10.5171798322083	7.19963434338406e-26	3.98725795938018e-23
16138	GPC2	protein_coding	142.251865966719	1.48319708208935	0.141204512774017	10.5038929206395	8.28896443220501e-26	4.48621361337568e-23
7685	KIF2C	protein_coding	1052.243039001	1.04032549106276	0.100122742686475	10.3905013301567	2.73909556199213e-25	1.44952937140623e-22
7652	PADI3	protein_coding	89.1031216927794	3.04952077632276	0.293674112414177	10.3840299413996	2.93134035606952e-25	1.51754215737912e-22
7348	DUOXA1	protein_coding	556.624320743864	-1.35271499574456	0.130580580882834	-10.3592355509455	3.7998674164774e-25	1.92532005651048e-22
12326	SLC16A11	protein_coding	136.870002860211	-1.31981733451983	0.127881174266076	-10.3206538577269	5.6834778074128e-25	2.81971542720267e-22
10025	SPATA18	protein_coding	592.734271174179	-1.39100299108059	0.134896263651199	-10.3116495107478	6.24206278717008e-25	2.97296966427336e-22
2737	SCG3	protein_coding	52.6268621823134	1.98422687093499	0.192497394295165	10.3078115846726	6.49637450367151e-25	3.03342475353791e-22
12498	LPL	protein_coding	2728.49258432854	-1.48348455523432	0.144000415632167	-10.3019463431531	6.90498614622465e-25	3.12612582327248e-22
12352	SLC26A9	protein_coding	2835.14375365325	-1.72027241359402	0.167842080847379	-10.2493510859073	1.19140688718424e-24	5.15857520207374e-22
3092	CRHR2	protein_coding	42.4848862668473	-1.71661886477903	0.168077786818213	-10.2132405315145	1.72988967436877e-24	7.19367432460498e-22
